call_idx,start_ts,end_ts,elapsed_ms,http_status
87,1762799932.582397,1762799932.583898,1.5010833740234375,ERR
88,1762799932.65387,1762799932.654593,0.7228851318359375,ERR
89,1762799932.7181141,1762799932.718967,0.8528232574462891,ERR
90,1762799932.804493,1762799932.822697,18.2039737701416,ERR
91,1762799932.9169888,1762799932.91766,0.6711483001708984,ERR
92,1762799932.9943109,1762799932.995735,1.4240741729736328,ERR
93,1762799933.055361,1762799933.056192,0.8308887481689453,ERR
94,1762799933.107998,1762799933.108549,0.5512237548828125,ERR
95,1762799933.195938,1762799933.196512,0.5738735198974609,ERR
96,1762799933.26094,1762799933.261506,0.5660057067871094,ERR
97,1762799933.362064,1762799933.364042,1.978158950805664,ERR
98,1762799933.4313521,1762799933.432006,0.6537437438964844,ERR
99,1762799933.510939,1762799933.511581,0.6420612335205078,ERR
