call_idx,start_ts,end_ts,elapsed_ms,http_status
35,1762799944.047063,1762799944.048026,0.9629726409912109,ERR
36,1762799944.121133,1762799944.122216,1.0828971862792969,ERR
37,1762799944.201788,1762799944.202802,1.0139942169189453,ERR
38,1762799944.274005,1762799944.275003,0.9980201721191406,ERR
39,1762799944.3348658,1762799944.335973,1.1072158813476562,ERR
40,1762799944.429541,1762799944.430177,0.6358623504638672,ERR
41,1762799944.524204,1762799944.5249019,0.6978511810302734,ERR
42,1762799944.627773,1762799944.6288881,1.1150836944580078,ERR
43,1762799944.69965,1762799944.700288,0.6380081176757812,ERR
44,1762799944.755489,1762799944.756479,0.9899139404296875,ERR
45,1762799944.8301098,1762799944.83108,0.9701251983642578,ERR
46,1762799944.885914,1762799944.8866408,0.7266998291015625,ERR
47,1762799944.944465,1762799944.945565,1.1000633239746094,ERR
48,1762799945.031404,1762799945.0325298,1.1258125305175781,ERR
49,1762799945.100638,1762799945.101672,1.0340213775634766,ERR
50,1762799945.1851652,1762799945.186176,1.010894775390625,ERR
51,1762799945.249696,1762799945.251086,1.3899803161621094,ERR
52,1762799945.3356009,1762799945.3366752,1.0743141174316406,ERR
53,1762799945.421015,1762799945.422071,1.0559558868408203,ERR
54,1762799945.506933,1762799945.508147,1.2140274047851562,ERR
55,1762799945.5900512,1762799945.590764,0.7128715515136719,ERR
56,1762799945.67371,1762799945.674452,0.7419586181640625,ERR
57,1762799945.730946,1762799945.731425,0.47898292541503906,ERR
58,1762799945.812747,1762799945.813392,0.6449222564697266,ERR
59,1762799945.873534,1762799945.87417,0.6361007690429688,ERR
60,1762799945.956542,1762799945.95716,0.61798095703125,ERR
61,1762799946.040255,1762799946.0408819,0.6268024444580078,ERR
62,1762799946.138815,1762799946.139864,1.049041748046875,ERR
63,1762799946.192996,1762799946.194062,1.065969467163086,ERR
64,1762799946.2499561,1762799946.250815,0.8587837219238281,ERR
65,1762799946.353906,1762799946.354481,0.5750656127929688,ERR
66,1762799946.447351,1762799946.447816,0.4649162292480469,ERR
67,1762799946.510391,1762799946.511168,0.7770061492919922,ERR
68,1762799946.590301,1762799946.591358,1.0569095611572266,ERR
69,1762799946.671672,1762799946.672738,1.065969467163086,ERR
70,1762799946.7362099,1762799946.737183,0.9732246398925781,ERR
71,1762799946.830016,1762799946.831007,0.9911060333251953,ERR
72,1762799946.9043782,1762799946.905354,0.9758472442626953,ERR
73,1762799946.963443,1762799946.964438,0.9949207305908203,ERR
74,1762799947.066263,1762799947.06724,0.9770393371582031,ERR
75,1762799947.150082,1762799947.1510441,0.9620189666748047,ERR
76,1762799947.24678,1762799947.247735,0.9551048278808594,ERR
77,1762799947.340393,1762799947.341602,1.2090206146240234,ERR
78,1762799947.400471,1762799947.401224,0.7529258728027344,ERR
79,1762799947.486562,1762799947.4871922,0.6301403045654297,ERR
80,1762799947.546133,1762799947.546787,0.6539821624755859,ERR
81,1762799947.640081,1762799947.640764,0.6830692291259766,ERR
82,1762799947.704038,1762799947.704684,0.6461143493652344,ERR
83,1762799947.7961721,1762799947.796871,0.6988048553466797,ERR
84,1762799947.868326,1762799947.868982,0.6561279296875,ERR
85,1762799947.966208,1762799947.966872,0.6639957427978516,ERR
86,1762799948.039823,1762799948.0404649,0.6418228149414062,ERR
87,1762799948.121321,1762799948.122015,0.6940364837646484,ERR
88,1762799948.219831,1762799948.2206578,0.8268356323242188,ERR
89,1762799948.3081548,1762799948.3088021,0.6473064422607422,ERR
90,1762799948.3662379,1762799948.367042,0.8041858673095703,ERR
91,1762799948.440452,1762799948.4413419,0.8897781372070312,ERR
92,1762799948.500833,1762799948.501544,0.7109642028808594,ERR
93,1762799948.583075,1762799948.583929,0.8540153503417969,ERR
94,1762799948.644447,1762799948.645567,1.119852066040039,ERR
95,1762799948.7402759,1762799948.74102,0.7441043853759766,ERR
96,1762799948.837904,1762799948.838502,0.5979537963867188,ERR
97,1762799948.9338298,1762799948.934477,0.6473064422607422,ERR
98,1762799949.0254688,1762799949.026222,0.7531642913818359,ERR
99,1762799949.079394,1762799949.079916,0.5218982696533203,ERR
